Sac à main	Textile > Vêtement et accessoire > Accessoire
Buste de Napoléon	Beaux arts > Sculpture > Statue
Buste de Napoléon III	Beaux arts > Sculpture > Statue
Buste de Napoléon Ier	Beaux arts > Sculpture > Statue
Buste de Noël Hallé\nDécision de radiation N° 2004/10\nRestitution au Ministère des Affaires Etrangè	Beaux arts > Sculpture > Statue
Buste de Percier	Beaux arts > Sculpture > Statue
Buste de Poincaré	Beaux arts > Sculpture > Statue
Buste de Raymond Poincaré	Beaux arts > Sculpture > Statue
Buste de Robespierre	Beaux arts > Sculpture > Statue
Buste de Romain	Beaux arts > Sculpture > Statue
Buste de Rotrou\nDécision de radiation n° 2006/15\nreversé au Musée du Louvre	Beaux arts > Sculpture > Statue
Buste de Saint Charles Borromée	Beaux arts > Sculpture > Statue
Buste de Saint Vincent de Paul	Beaux arts > Sculpture > Statue
Buste de Thiers	Beaux arts > Sculpture > Statue
Buste de Van der Meulen	Beaux arts > Sculpture > Statue
Buste de Voltaire	Beaux arts > Sculpture > Statue
Buste de femme	Beaux arts > Sculpture > Statue
Buste de femme\nDécision de radiation n° 2007/4\nreversé au Musée du Louvre	Beaux arts > Sculpture > Statue
Buste de femme\nRADIATION DES INVENTAIRES \nARRETE DU 02.11.1992\nCHATEAU DE RAMBOUILLET	Beaux arts > Sculpture > Statue
Buste de jeune garçon	Beaux arts > Sculpture > Statue
Buste de l' Empereur Adrien\nDécision de radiation n° 2007/4\nreversé au Musée du Louvre	Beaux arts > Sculpture > Statue
Buste de l' Impératrice Eugénie	Beaux arts > Sculpture > Statue
Buste de l' Impératrice Joséphine	Beaux arts > Sculpture > Statue
Buste de l'Empereur Marc-Aurèle\nDécision de radiation n° 2007/4\nreversé au Musée du Louvre	Beaux arts > Sculpture > Statue
Buste de l'Impératrice Eugénie	Beaux arts > Sculpture > Statue
Buste de la Duchesse d'Angoulême	Beaux arts > Sculpture > Statue
Buste de la Duchesse de Berry	Beaux arts > Sculpture > Statue
Buste de la Princesse Mathilde	Beaux arts > Sculpture > Statue
Buste de la République	Beaux arts > Sculpture > Statue
Buste de la république	Beaux arts > Sculpture > Statue
Buste de son Altesse Mademoiselle	Beaux arts > Sculpture > Statue
Buste di Président Doumergue	Beaux arts > Sculpture > Statue
Buste du Duc d'Angoulême	Beaux arts > Sculpture > Statue
Buste du Duc d'Angoulême en costume de colonel (dit Duc de Bordeaux)	Beaux arts > Sculpture > Statue
Buste du Duc d'Angoulême"	Beaux arts > Sculpture > Statue
Buste du Duc de Berry	Beaux arts > Sculpture > Statue
Buste du Duc de Bordeaux	Beaux arts > Sculpture > Statue
Buste du Duc de Bordeaux (enfant)	Beaux arts > Sculpture > Statue
Buste du Duc de Bordeaux enfant	Beaux arts > Sculpture > Statue
Buste du Général Lafayette	Beaux arts > Sculpture > Statue
Buste du Général de Gaulle	Beaux arts > Sculpture > Statue
Buste du MARECHAL DE VILLARS	Beaux arts > Sculpture > Statue
Buste du Printemps	Beaux arts > Sculpture > Statue
Buste du Printemps n° 2	Beaux arts > Sculpture > Statue
Buste du Président Doumergue	Beaux arts > Sculpture > Statue
Buste du Président Fallières	Beaux arts > Sculpture > Statue
Buste du Président François Mitterrand	Beaux arts > Sculpture > Statue
Buste du Président Poincaré	Beaux arts > Sculpture > Statue
Buste duPrésident Doumergue	Beaux arts > Sculpture > Statue
Statue	Beaux arts > Sculpture > Statue
Statue Femme nue assise en tailleur	Beaux arts > Sculpture > Statue
Statue d'un cavalier	Beaux arts > Sculpture > Statue
Statue de Diane	Beaux arts > Sculpture > Statue
Statue de Déesse Lionne	Beaux arts > Sculpture > Statue
Statue de Laurent de Médicis	Beaux arts > Sculpture > Statue
Statue de Minerve	Beaux arts > Sculpture > Statue
Statue de Saint François Régis	Beaux arts > Sculpture > Statue
Statue de Saint-Jean	Beaux arts > Sculpture > Statue
Statue de Saint-Roch	Beaux arts > Sculpture > Statue
Statue de saint-évêque	Beaux arts > Sculpture > Statue
Statue du Laocon	Beaux arts > Sculpture > Statue
Statue équestre	Beaux arts > Sculpture > Statue
Statue équestre de Louis XIV	Beaux arts > Sculpture > Statue
Statuede Vénus et Amour\n	Beaux arts > Sculpture > Statue
Statues, vases, vasques et bassins du château et du parc de Versailles	Beaux arts > Sculpture > Statue
Gravure en couleur	Beaux arts > Art graphique > Gravure
Gravure encadrée. "Le roi à la chasse du Cerf avec les dames"	Beaux arts > Art graphique > Gravure
Gravure encadrée. LE SOIR	Beaux arts > Art graphique > Gravure
Gravure encadrée.. LE PONT NEUF	Beaux arts > Art graphique > Gravure
Gravure encadrée.LE MATIN	Beaux arts > Art graphique > Gravure
